"","Year","Rank","DJ","Change"
"1",2004,1,"Tiësto","Re-entry"
"2",2005,1,"Paul van Dyk","Up 1"
"3",2006,1,"Paul van Dyk","No change"
"4",2007,1,"Armin Van Buuren","Up 1"
"5",2008,1,"Armin Van Buuren","No change"
"6",2009,1,"Armin Van Buuren","No change"
"7",2010,1,"Armin Van Buuren","No change"
"8",2011,1,"David Guetta","Up 1"
"9",2012,1,"Armin Van Buuren","Up 1"
"10",2013,1,"Hardwell","Up 5"
"11",2014,1,"Hardwell","No change"
"12",2015,1,"Dimitri Vegas & Like Mike","Up 1"
"13",2016,1,"Martin Garrix","Up 2"
"14",2017,1,"Martin Garrix","No change"
"15",2004,2,"Paul van Dyk","Re-entry"
"16",2005,2,"Tiësto","Down 1"
"17",2006,2,"Armin Van Buuren","Up 1"
"18",2007,2,"Tiësto","Up 1"
"19",2008,2,"Tiësto","No change"
"20",2009,2,"Tiësto","No change"
"21",2010,2,"David Guetta","Up 1"
"22",2011,2,"Armin Van Buuren","Down 1"
"23",2012,2,"Tiësto","Up 1"
"24",2013,2,"Armin Van Buuren","Down 1"
"25",2014,2,"Dimitri Vegas & Like Mike","Up 4"
"26",2015,2,"Hardwell","Down 1"
"27",2016,2,"Dimitri Vegas & Like Mike","Down 1"
"28",2017,2,"Dimitri Vegas & Like Mike","No change"
"29",2004,3,"Armin Van Buuren","Re-entry"
"30",2005,3,"Armin Van Buuren","No change"
"31",2006,3,"Tiësto","Down 1"
"32",2007,3,"John Digweed","Up 5"
"33",2008,3,"Paul van Dyk","Up 1"
"34",2009,3,"David Guetta","Up 2"
"35",2010,3,"Tiësto","Down 1"
"36",2011,3,"Tiësto","No change"
"37",2012,3,"Avicii","Up 3"
"38",2013,3,"Avicii","No change"
"39",2014,3,"Armin Van Buuren","Down 1"
"40",2015,3,"Martin Garrix","Up 1"
"41",2016,3,"Hardwell","Down 1"
"42",2017,3,"Armin Van Buuren","Up 1"
"43",2004,4,"Sasha","Re-entry"
"44",2005,4,"Sasha","No change"
"45",2006,4,"Christopher Lawrence","Up 10"
"46",2007,4,"Paul van Dyk","Down 3"
"47",2008,4,"Above & Beyond","Up 2"
"48",2009,4,"Above & Beyond","No change"
"49",2010,4,"Deadmau5","Up 2"
"50",2011,4,"Deadmau5","No change"
"51",2012,4,"David Guetta","Down 3"
"52",2013,4,"Tiësto","Down 2"
"53",2014,4,"Martin Garrix","Up 36"
"54",2015,4,"Armin Van Buuren","Down 1"
"55",2016,4,"Armin Van Buuren","No change"
"56",2017,4,"Hardwell","Down 1"
"57",2004,5,"Ferry Corsten","Up 1"
"58",2005,5,"Ferry Corsten","No change"
"59",2006,5,"DJ Dan","Up 19"
"60",2007,5,"Sasha","Up 2"
"61",2008,5,"David Guetta","Up 5"
"62",2009,5,"Paul van Dyk","Down 2"
"63",2010,5,"Above & Beyond","Down 1"
"64",2011,5,"Above & Beyond","No change"
"65",2012,5,"Deadmau5","Down 1"
"66",2013,5,"David Guetta","Down 1"
"67",2014,5,"Tiësto","Down 1"
"68",2015,5,"Tiësto","No change"
"69",2016,5,"Tiësto","No change"
"70",2017,5,"Tiësto","No change"
"71",2004,6,"Hernan Cattaneo","Up 16"
"72",2005,6,"John Digweed","Up 2"
"73",2006,6,"Ferry Corsten","Down 1"
"74",2007,6,"Above & Beyond","Up 3"
"75",2008,6,"Ferry Corsten","Up 2"
"76",2009,6,"Deadmau5","Up 5"
"77",2010,6,"Paul van Dyk","Down 1"
"78",2011,6,"Avicii","Up 33"
"79",2012,6,"Hardwell","Up 18"
"80",2013,6,"Dimitri Vegas & Like Mike","Up 32"
"81",2014,6,"Avicii","Down 3"
"82",2015,6,"David Guetta","Up 1"
"83",2016,6,"David Guetta","No change"
"84",2017,6,"The Chainsmokers","Up 12"
"85",2004,7,"Christopher Lawrence","Up 28"
"86",2005,7,"Hernan Cattaneo","Down 1"
"87",2006,7,"Sasha","Down 3"
"88",2007,7,"Carl Cox","Up 4"
"89",2008,7,"Sasha"," Down 2"
"90",2009,7,"Ferry Corsten","Down 1"
"91",2010,7,"Gareth Emery","Up 2"
"92",2011,7,"Afrojack","Up 12"
"93",2012,7,"Dash Berlin","Up 1"
"94",2013,7,"Nicky Romero","Up 10"
"95",2014,7,"David Guetta","Down 2"
"96",2015,7,"Avicii","Down 1"
"97",2016,7,"Steve Aoki","Up 3"
"98",2017,7,"David Guetta","Down 1"
"99",2004,8,"John Digweed","Down 3"
"100",2005,8,"Deep Dish","Up 2"
"101",2006,8,"John Digweed","Down 2"
"102",2007,8,"Ferry Corsten","Down 2"
"103",2008,8,"Markus Schulz","Up 5"
"104",2009,8,"Markus Schulz","No change"
"105",2010,8,"Markus Schulz","No change"
"106",2011,8,"Dash Berlin","Up 7"
"107",2012,8,"Above & Beyond","Down 3"
"108",2013,8,"Steve Aoki","Up 7"
"109",2014,8,"Nicky Romero","Down 1"
"110",2015,8,"Afrojack","Up 4"
"111",2016,8,"Oliver Heldens","Up 4"
"112",2017,8,"Afrojack","Up 2"
"113",2004,9,"Paul Oakenfold","Down 1"
"114",2005,9,"ATB","Up 4"
"115",2006,9,"Above & Beyond","Up 10"
"116",2007,9,"Infected Mushroom","Up 3"
"117",2008,9,"John Digweed","Down 6"
"118",2009,9,"Gareth Emery","Up 14"
"119",2010,9,"Ferry Corsten","Down 2"
"120",2011,9,"Markus Schulz","Down 1"
"121",2012,9,"Afrojack","Down 2"
"122",2013,9,"Afrojack","No change"
"123",2014,9,"Skrillex","Up 2"
"124",2015,9,"Skrillex","No change"
"125",2016,9,"Skrillex","No change"
"126",2017,9,"Steve Aoki","Down 2"
"127",2004,10,"Deep Dish","Re-entry"
"128",2005,10,"Carl Cox","Up 1"
"129",2006,10,"Deep Dish","Down 2"
"130",2007,10,"David Guetta","Up 21"
"131",2008,10,"Infected Mushroom","Down 1"
"132",2009,10,"Sander Van Doorn","Up 3"
"133",2010,10,"Axwell","Up 4"
"134",2011,10,"Swedish House Mafia","Up 13"
"135",2012,10,"Skrillex","Up 9"
"136",2013,10,"Dash Berlin","Down 3"
"137",2014,10,"Steve Aoki","Down 2"
"138",2015,10,"Steve Aoki","No change"
"139",2016,10,"Afrojack","Down 2"
"140",2017,10,"Marshmello","Up 18"
"141",2004,11,"Carl Cox","Down 4"
"142",2005,11,"Paul Oakenfold","Down 2"
"143",2006,11,"Carl Cox","Down 1"
"144",2007,11,"Deep Dish","Down 1"
"145",2008,11,"Deadmau5","New Entry 1"
"146",2009,11,"ATB","Up 14"
"147",2010,11,"ATB","No change"
"148",2011,11,"Paul van Dyk","Down 5"
"149",2012,11,"Headhunterz","Up 6"
"150",2013,11,"Skrillex","Down 1"
"151",2014,11,"Calvin Harris","Up 4"
"152",2015,11,"Calvin Harris","No change"
"153",2016,11,"Avicii","Down 4"
"154",2017,11,"Don Diablo ","Up 4"
"155",2004,12,"Sander Kleinenberg","Up 1"
"156",2005,12,"Richie Hawtin","Up 32"
"157",2006,12,"Infected Mushroom","Up 14"
"158",2007,12,"Paul Oakenfold","Up 2"
"159",2008,12,"Carl Cox","Down 5"
"160",2009,12,"Infected Mushroom","Down 2"
"161",2010,12,"Sander Van Doorn","Down 2"
"162",2011,12,"Axwell","Down 2"
"163",2012,12,"Swedish House Mafia","Down 2"
"164",2013,12,"Deadmau5","Down 7"
"165",2014,12,"Afrojack","Down 3"
"166",2015,12,"Oliver Heldens","Up 22"
"167",2016,12,"KSHMR","Up 11"
"168",2017,12,"KSHMR","No change"
"169",2004,13,"ATB","Up 34"
"170",2005,13,"James Zabiela","Up 2"
"171",2006,13,"ATB","Down 4"
"172",2007,13,"Markus Schulz","Up 6"
"173",2008,13,"Sander Van Doorn","Up 2"
"174",2009,13,"Sasha","Down 6"
"175",2010,13,"Infected Mushroom","Down 1"
"176",2011,13,"Gareth Emery","Down 6"
"177",2012,13,"Markus Schulz","Down 4"
"178",2013,13,"Alesso","Up 7"
"179",2014,13,"Blasterjaxx","Up 58"
"180",2015,13,"Alesso","Up 2"
"181",2016,13,"W&W","Up 1"
"182",2017,13,"Oliver Heldens","Down 5"
"183",2004,14,"Judge Jules","Down 5"
"184",2005,14,"Christopher Lawrence","Down 7"
"185",2006,14,"Paul Oakenfold","Down 3"
"186",2007,14,"Hernan Cattaneo","Up 1"
"187",2008,14,"Paul Oakenfold","Down 2"
"188",2009,14,"Axwell","Up 6"
"189",2010,14,"Steve Angello","Up 6"
"190",2011,14,"Fedde Le Grand","Up 5"
"191",2012,14,"Gareth Emery","Down 1"
"192",2013,14,"W & W","Up 11"
"193",2014,14,"Dash Berlin","Down 4"
"194",2015,14,"W & W","Up 4"
"195",2016,14,"Calvin Harris","Down 3"
"196",2017,14,"W&W","Down 1"
"197",2004,15,"James Zabiela","Down 4"
"198",2005,15,"Judge Jules","Down 1"
"199",2006,15,"Hernan Cattaneo","Down 8"
"200",2007,15,"Sander Van Doorn","Up 15"
"201",2008,15,"Richie Hawtin","Up 4"
"202",2009,15,"Andy Moor","Up 3"
"203",2010,15,"Dash Berlin","New Entry"
"204",2011,15,"ATB","Down 4"
"205",2012,15,"Steve Aoki","Up 27"
"206",2013,15,"Calvin Harris","Up 16"
"207",2014,15,"Alesso","Down 2"
"208",2015,15,"Dash Berlin","Down 1"
"209",2016,15,"Don Diablo ","Up 15"
"210",2017,15,"Calvin Harris","Down 1"
"211",2004,16,"Marco V","Down 1"
"212",2005,16,"Marco V","Re-entry"
"213",2006,16,"Judge Jules","Down 1"
"214",2007,16,"Eddie Halliwell","Up 1"
"215",2008,16,"Hernan Cattaneo","Down 2"
"216",2009,16,"Bobina","Up 12"
"217",2010,16,"Sebastian Ingrosso","Up 9"
"218",2011,16,"Sander Van Doorn","Down 4"
"219",2012,16,"Paul van Dyk","Down 5"
"220",2013,16,"Nervo","Up 30"
"221",2014,16,"Deadmau5","Down 4"
"222",2015,16,"DVBBS","Up 4"
"223",2016,16,"Axwell & Ingrosso","Up 1"
"224",2017,16,"Skrillex","Down 7"
"225",2004,17,"Roger Sanchez","Up 4"
"226",2005,17,"Eddie Halliwell","Up 8"
"227",2006,17,"Eddie Halliwell","Re-entry"
"228",2007,17,"James Zabiela","Up 4"
"229",2008,17,"James Zabiela","Stay 2"
"230",2009,17,"John Digweed","Down 8"
"231",2010,17,"Laidback Luke","Up 10"
"232",2011,17,"Headhunterz","Up 17"
"233",2012,17,"Nicky Romero","New Entry"
"234",2013,17,"Above & Beyond","Down 9"
"235",2014,17,"Showtek","Up 10"
"236",2015,17,"Axwell & Ingrosso","No change"
"237",2016,17,"Dash Berlin","Down 2"
"238",2017,17,"Alan Walker","Up 38"
"239",2004,18,"Benny Benassi","New Entry"
"240",2005,18,"Erick Morillo","Up 4"
"241",2006,18,"Marco V","Down 2"
"242",2007,18,"Astrix","Up 23"
"243",2008,18,"Andy Moor","Up 12"
"244",2009,18,"Carl Cox","Down 6"
"245",2010,18,"Judge Jules","Up 26"
"246",2011,18,"Ferry Corsten","Down 9"
"247",2012,18,"Sander Van Doorn","Down 2"
"248",2013,18,"Sebastian Ingrosso","Up 16"
"249",2014,18,"W & W","Down 4"
"250",2015,18,"Nicky Romero","Down 10"
"251",2016,18,"The Chainsmokers","Re-entry"
"252",2017,18,"R3hab","Up 3"
"253",2004,19,"Tall Paul","Re-entry"
"254",2005,19,"Above & Beyond","Up 20"
"255",2006,19,"Markus Schulz","Up 2"
"256",2007,19,"Richie Hawtin","Up 14"
"257",2008,19,"Eddie Halliwell","Down 3"
"258",2009,19,"Cosmic Gate","Up 43"
"259",2010,19,"Afrojack","New Entry"
"260",2011,19,"Skrillex","New Entry"
"261",2012,19,"Aly & Fila","Up 3"
"262",2013,19,"Axwell","Up 4"
"263",2014,19,"Deorro","New Entry"
"264",2015,19,"Blasterjaxx","Down 6"
"265",2016,19,"Ummet Ozcan","Up 17"
"266",2017,19,"Alok","Up 6"
"267",2004,20,"Danny Howells","Down 8"
"268",2005,20,"Sander Kleinenberg","Down 8"
"269",2006,20,"Gabriel & Dresden","Up 9"
"270",2007,20,"Marco V","Down 2"
"271",2008,20,"Axwell","Up 13"
"272",2009,20,"Steve Angello","Up 43"
"273",2010,20,"Aly & Fila","Up 2"
"274",2011,20,"Laidback Luke","Down 3"
"275",2012,20,"Alesso","Up 50"
"276",2013,20,"Aly & Fila","Down 1"
"277",2014,20,"DVBBS","New Entry"
"278",2015,20,"Diplo","Up 12"
"279",2016,20,"Alesso","Down 7"
"280",2017,20,"Dash Berlin","Down 3"
"281",2004,21,"Steve Lawless","Down 7"
"282",2005,23,"Sven Väth","Up 11"
"283",2006,21,"James Zabiela","Down 8"
"284",2007,21,"Judge Jules","Down 5"
"285",2008,21,"Eric Prydz","Up 15"
"286",2009,21,"Roger Shah","Up 37"
